Timecode List:,00:02:00.253,00:02:52.606,00:03:17.064,00:04:15.989,00:06:06.933,00:06:26.119,00:06:59.152,00:07:27.914,00:14:18.191,00:15:16.949,00:15:20.553,00:17:24.143,00:18:59.105,00:19:10.116
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,3604,00:02:00.253,120.253,3604,00:02:00.253,120.253
2,3604,00:02:00.253,120.253,5173,00:02:52.606,172.606,1569,00:00:52.352,52.352
3,5173,00:02:52.606,172.606,5906,00:03:17.064,197.064,733,00:00:24.458,24.458
4,5906,00:03:17.064,197.064,7672,00:04:15.989,255.989,1766,00:00:58.926,58.926
5,7672,00:04:15.989,255.989,10997,00:06:06.933,366.933,3325,00:01:50.944,110.944
6,10997,00:06:06.933,366.933,11572,00:06:26.119,386.119,575,00:00:19.186,19.186
7,11572,00:06:26.119,386.119,12562,00:06:59.152,419.152,990,00:00:33.033,33.033
8,12562,00:06:59.152,419.152,13424,00:07:27.914,447.914,862,00:00:28.762,28.762
9,13424,00:07:27.914,447.914,25720,00:14:18.191,858.191,12296,00:06:50.277,410.277
10,25720,00:14:18.191,858.191,27481,00:15:16.949,916.949,1761,00:00:58.759,58.759
11,27481,00:15:16.949,916.949,27589,00:15:20.553,920.553,108,00:00:03.604,3.604
12,27589,00:15:20.553,920.553,31293,00:17:24.143,1044.143,3704,00:02:03.590,123.590
13,31293,00:17:24.143,1044.143,34139,00:18:59.105,1139.105,2846,00:01:34.962,94.962
14,34139,00:18:59.105,1139.105,34469,00:19:10.116,1150.116,330,00:00:11.011,11.011
15,34469,00:19:10.116,1150.116,37114,00:20:38.370,1238.370,2645,00:01:28.255,88.255
